RUN,TEST,TP,QA,QC,ALPHAENC,ALPHAC,PSI,CLWA,CDWA,CMWA25,RE_MAC,RE_FT,PMTARE
19,2262,2,9.99600,10.050,-3.977,-4.116,0.00000,-0.18869,0.01802,-0.01772,727086,581668,-4.1295
19,2262,3,10.001,10.052,-2.018,-2.072,0.00000,-0.04909,0.01508,-0.01254,727193,581755,-3.8951
19,2262,4,10.016,10.065,-0.016,0.019,0.00000,0.09871,0.01499,-0.00825,727766,582213,-3.6778
19,2262,5,10.009,10.057,2.011,2.138,0.00000,0.25059,0.01765,-0.00479,727543,582034,-3.4788
19,2262,6,9.92400,9.97071,4.026,4.247,0.00000,0.40500,0.02316,-0.00198,724480,579584,-3.2800
19,2262,7,9.92400,9.97065,5.983,6.295,0.00000,0.55490,0.03092,-0.00047,724537,579630,-3.1496
19,2262,8,9.94300,9.99111,8.026,8.435,0.00000,0.71535,0.04239,-0.00096,725355,580284,-3.0340
19,2262,9,10.007,10.058,9.965,10.463,0.00000,0.86190,0.05573,-0.00160,727824,582259,-2.9815
19,2262,10,9.98000,10.033,11.012,11.553,0.00000,0.93253,0.06319,-0.00110,726949,581559,-2.9726
19,2262,11,10.003,10.059,11.971,12.551,0.00000,0.99735,0.07093,-0.00075,727886,582309,-2.9786
19,2262,12,9.96400,10.024,13.022,13.639,0.00000,1.0595,0.07970,-0.00007,726653,581322,-2.9662
19,2262,13,9.95300,10.019,13.979,14.626,0.00000,1.1079,0.08840,0.00070,726531,581225,-2.9623
19,2262,14,9.95000,10.027,15.025,15.696,0.00000,1.1474,0.09832,0.00068,726841,581472,-2.9609
19,2262,15,9.88300,10.028,15.993,16.634,0.00000,1.0980,0.12555,-0.02075,726876,581501,-2.9415
19,2262,16,9.81000,9.99306,17.015,17.647,0.00000,1.0836,0.14300,-0.02964,725646,580517,-2.9199
19,2262,17,9.91500,10.149,17.962,18.571,0.00000,1.0457,0.16187,-0.04324,731330,585064,-2.9516
19,2262,18,9.90100,10.187,19.002,19.583,0.00000,0.99860,0.18120,-0.05513,732670,586136,-2.9479
19,2262,19,9.82000,10.148,19.995,20.554,0.00000,0.96203,0.19804,-0.06452,731282,585026,-2.9242
19,2262,20,9.91400,10.287,21.011,21.555,0.00000,0.93827,0.21480,-0.07288,736301,589041,-2.9525
19,2262,21,10.033,10.410,21.011,21.555,0.00000,0.93725,0.21448,-0.07232,740692,592554,-2.9879
19,2262,22,10.061,10.439,21.011,21.554,0.00000,0.93593,0.21425,-0.07225,741725,593380,-2.9963
19,2262,23,10.047,10.425,21.011,21.556,0.00000,0.93947,0.21511,-0.07263,741232,592986,-2.9921

